Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending
58,635,88,546,172,88,88,1617
38,11,1,6,2,1,6,27
26,426,49,127,111,21,42,776
26,11,4,20,10,3,5,53
94,173,43,118,46,27,15,422
16,520,42,98,0,42,14,716
34,235,65,164,50,49,27,590
32,76,10,56,3,1,23,169
19,14,0,24,3,3,2,46
68,28,0,6,1,1,13,49
11,5,5,6,0,2,1,19
59,6,16,11,11,1,16,61
82,194,61,480,225,112,30,1102
53,233,2,53,3,5,14,310
38,3,14,17,6,1,5,46
23,1006,22,115,59,68,45,1315
51,53,5,19,2,13,4,96
20,84,5,38,150,12,28,317
91,1012,80,498,0,16,176,1782
86,4,17,19,30,24,39,133
41,86,2,73,69,38,48,316
42,1,1,1725,1,1,1,1730
63,867,0,86,0,0,19,972
0,384,0,102,21,32,5,544
69,270,3,27,39,6,99,444
89,6,4,25,15,12,13,75
4,173,4,30,3,6,41,257
19,5,1,3,3,263,362,637
26,36,2,42,20,21,10,131
96,684,100,801,21,66,0,1672
34,8,4,10,2,2,4,30
56,112,17,44,34,22,89,318
31,110,0,5,2,0,3,120
8,96,12,96,33,22,43,302
4,482,34,471,119,68,22,1196
55,40,0,19,2,1,3,65
37,702,17,151,0,8,35,913
76,6,3,14,15,7,36,81
99,55,0,6,2,0,4,67
53,437,8,206,160,49,42,902
3,421,76,536,82,178,102,1395
88,13,1,29,3,0,7,53
4,9,0,6,3,1,3,22
80,81,11,50,3,2,39,186
19,3,1,10,3,2,12,31
72,123,164,266,227,30,174,984
24,3,18,14,15,22,50,122
92,13,6,15,3,5,13,55
96,48,5,48,6,10,7,124
39,826,50,317,50,38,38,1319
29,245,19,125,37,67,14,507
2,650,37,780,27,167,32,1693
54,12,6,20,30,1,3,72
54,510,120,550,156,40,241,1617
57,328,9,124,12,24,109,606
55,984,51,432,180,120,190,1957
30,295,35,482,121,120,40,1093
31,13,0,8,2,1,5,29
57,11,3,22,2,2,6,46
63,447,0,28,0,0,43,518
12,712,26,538,69,13,80,1438
18,452,18,102,16,18,6,612
26,523,7,134,37,14,169,884
8,546,0,48,0,6,6,606
29,398,40,367,119,122,30,1076
75,1,3,6,3,6,15,34
0,10,0,1,0,0,0,11
19,688,14,309,201,24,38,1274
4,247,49,159,7,82,109,653
90,856,59,487,58,29,73,1562
1,496,36,460,189,60,12,1253
25,25,3,43,17,4,17,109
29,258,107,291,84,37,86,863
88,565,6,65,0,6,19,661
58,14,10,13,4,15,9,65
68,2,1,6,2,1,1,13
34,721,111,925,97,18,18,1890
40,1032,105,779,137,105,51,2209
12,1,0,5,0,3,9,18
9,577,0,64,0,0,51,692
87,64,4,68,7,5,17,165
5,4,1,5,2,0,4,16
87,25,5,19,7,0,23,79
56,112,17,44,34,22,89,318
18,163,23,424,27,65,76,778
95,17,8,14,10,4,3,56
48,130,0,16,0,0,5,151
3,292,6,37,0,3,34,372
70,350,60,568,110,133,145,1366
79,135,9,39,4,0,7,194
4,230,42,192,49,37,53,603
45,7,0,8,2,0,1,18
87,445,37,359,98,28,18,985
69,15,2,10,0,1,4,32
84,27,2,14,0,0,0,43
30,5,3,11,12,5,9,45
72,505,0,26,0,0,75,606
37,51,2,7,0,1,2,63
44,207,26,447,75,0,223,978
32,135,46,92,65,61,11,410
0,53,1,5,2,1,10,72
43,41,1,6,2,0,5,55
59,386,172,183,185,132,111,1169
68,562,81,276,80,40,81,1120
35,217,76,690,50,26,38,1097
94,1,3,6,10,0,9,29
15,144,1,32,2,1,7,187
56,295,106,271,75,98,65,910
17,76,3,31,4,4,27,145
18,454,194,106,31,22,43,850
46,425,115,292,23,35,79,969
40,1332,17,311,23,51,86,1820
27,527,0,21,0,0,60,608
95,490,44,125,29,20,22,730
19,378,0,101,0,0,72,551
27,64,1,21,0,1,27,114
25,547,99,812,151,82,33,1724
74,47,90,94,123,103,120,577
85,12,5,25,0,9,30,81
37,1,6,7,11,5,3,33
65,320,48,133,39,72,48,660
13,34,3,29,0,4,10,80
63,9,0,7,3,4,7,30
83,17,0,14,7,3,2,43
69,722,27,102,44,72,168,1135
87,162,33,124,40,28,172,559
37,450,133,951,173,0,216,1923
51,70,0,16,0,0,4,90
23,352,0,27,10,0,15,404
72,492,19,110,16,12,12,661
10,120,58,73,65,89,58,463
42,534,5,47,0,5,41,632
10,236,106,189,23,41,130,725
96,231,65,196,38,71,124,725
51,220,0,33,3,0,23,279
21,796,14,590,38,44,0,1482
31,0,1,3,10,6,9,29
61,53,1,34,2,0,16,106
37,15,0,8,4,2,20,49
74,17,1,12,3,1,4,38
46,962,61,921,52,61,20,2077
4,738,0,232,13,20,50,1053
73,399,28,756,36,40,126,1385
47,614,16,132,43,33,33,871
13,32,34,41,73,16,116,312
36,598,16,141,32,41,49,877
47,2,1,18,20,11,16,68
49,6,1,10,0,1,4,22
94,73,3,90,12,1,32,211
65,42,16,29,12,20,8,127
59,295,21,78,39,13,13,459
96,346,17,48,23,13,13,460
28,233,20,57,8,20,91,429
12,5,7,24,19,14,20,89
57,888,0,57,0,0,76,1021
10,997,26,269,34,13,42,1381
4,212,6,69,4,12,3,306
49,8,1,7,2,0,0,18
3,42,11,57,10,28,14,162
64,536,11,387,149,91,57,1231
0,5,0,3,0,0,5,13
20,1349,16,249,43,16,33,1706
91,53,3,49,7,4,5,121
9,1001,12,240,16,12,12,1293
98,20,2,1582,1,2,1,1608
83,18,1,32,6,3,28,88
27,125,16,98,134,21,27,421
63,212,5,33,7,0,2,259
46,277,162,305,173,76,124,1117
84,15,10,19,8,17,20,89
58,7,3,10,8,1,7,36
78,12,4,6,11,8,16,57
4,85,7,24,2,3,27,148
17,81,0,6,0,0,6,93
77,59,0,12,0,0,48,119
56,1149,71,449,69,71,26,1835
79,847,66,119,86,89,111,1318
90,29,0,14,0,0,2,45
96,2,0,5,2,0,1,10
44,207,26,447,75,0,223,978
81,152,3,22,2,5,7,191
77,12,11,10,3,12,9,57
21,620,26,195,34,17,141,1033
16,47,1,6,0,0,12,66
80,1,9,7,2,14,10,43
45,10,1,18,10,4,7,50
63,35,0,2,0,0,2,39
34,356,0,107,19,9,117,608
14,783,30,537,140,76,15,1581
13,42,1,18,3,0,4,68
52,1,4,10,29,0,36,80
98,466,22,432,147,113,102,1282
99,15,6,8,7,4,25,65
93,23,3,21,3,19,22,91
38,235,6,45,8,9,12,315
24,10,0,10,3,1,7,31
80,656,16,106,32,16,8,834
82,519,17,813,27,173,51,1600
20,344,189,482,50,33,172,1270
81,96,1,79,7,1,79,263
50,448,4,34,6,4,39,535
60,265,138,553,224,23,92,1295
63,587,43,337,42,87,54,1150
54,763,29,138,76,176,58,1240
72,22,0,13,0,0,3,38
5,6,4,1,7,2,15,35
88,7,6,13,7,6,14,53
50,81,18,113,47,13,21,293
99,54,0,7,0,0,4,65
17,1170,48,320,42,32,192,1804
11,72,24,68,65,4,8,241
18,613,22,319,33,102,12,1101
70,224,0,30,0,0,10,264
21,410,0,59,19,9,44,541
66,239,10,554,254,87,54,1198
79,171,7,171,25,19,89,482
2,12,0,4,0,0,1,17
81,1076,16,417,42,48,16,1615
24,182,4,33,0,0,66,285
48,824,32,162,42,32,43,1135
93,30,11,25,29,1,18,114
56,377,10,540,80,30,10,1047
3,520,7,154,19,0,14,714
44,155,1,25,0,1,3,185
38,897,23,207,15,11,92,1245
46,131,0,16,2,1,39,189
84,297,7,79,0,11,182,576
27,787,20,204,0,0,92,1103
72,792,86,740,67,51,17,1753
66,4,1,9,3,0,0,17
30,231,7,137,4,15,39,433
2,983,76,184,180,138,27,1588
65,3,1,8,4,3,3,22
37,0,4,5,6,0,4,19
89,562,21,464,28,10,32,1117
49,5,9,20,6,8,21,69
46,18,0,4,0,0,1,23
32,415,5,124,15,35,11,605
54,5,3,10,12,7,20,57
23,8,0,5,7,0,2,22
98,901,61,757,186,163,20,2088
97,382,114,276,75,124,38,1009
75,14,1,7,2,1,1,26
8,559,153,503,218,13,181,1627
37,789,0,133,0,28,152,1102
31,11,0,5,0,0,1,17
40,1218,16,272,104,0,80,1690
74,925,64,179,133,12,77,1390
90,864,134,768,150,38,172,2126
57,960,28,183,220,70,70,1531
59,16,3,25,6,1,13,64
52,3,3,7,0,2,11,26
5,168,148,444,32,172,148,1112
92,45,47,52,21,20,25,210
77,650,28,353,45,42,30,1148
35,24,0,8,0,0,1,33
48,918,21,118,13,10,21,1101
97,138,33,87,28,24,12,322
95,12,4,2,10,6,10,44
24,11,0,4,0,0,2,17
60,1,2,8,4,3,13,31
46,554,41,215,11,0,24,845
85,167,2,62,24,13,7,275
31,9,0,6,4,1,5,25
9,177,2,71,3,2,20,275
30,38,4,22,4,2,20,90
47,483,84,398,205,84,241,1495
70,77,2,35,0,1,69,184
13,182,74,298,162,149,116,981
11,10,7,19,8,2,21,67
31,778,44,499,95,73,146,1635
15,16,7,23,0,8,6,60
2,167,0,43,6,2,13,231
55,13,2,14,8,7,4,48
38,33,6,40,3,7,10,99
86,625,7,99,10,22,7,770
56,216,162,224,101,92,162,957
29,68,129,396,188,22,15,818
30,196,0,512,33,130,54,925
64,635,15,100,20,7,131,908
46,4,19,9,28,25,17,102
84,297,7,79,0,11,182,576
20,84,5,38,150,12,28,317
74,204,7,149,20,15,66,461
18,26,0,8,0,0,3,37
75,15,6,20,4,5,20,70
17,304,98,230,150,74,74,930
88,285,28,242,55,114,135,859
19,395,183,565,166,141,28,1478
62,248,3,81,4,3,51,390
11,20,6,5,0,9,12,52
74,39,0,56,20,8,14,137
32,777,129,573,216,21,203,1919
76,8,3,22,21,1,13,68
6,9,1,3,0,4,8,25
62,1241,0,80,0,13,40,1374
20,6,4,7,4,3,8,32
43,65,4,16,0,4,11,100
45,395,15,263,60,54,38,825
34,801,0,80,0,0,35,916
53,36,0,12,2,2,10,62
44,513,14,154,19,0,28,728
89,37,0,46,4,3,0,90
43,80,15,93,20,13,52,273
68,14,1,21,2,3,25,66
44,525,147,112,219,147,63,1213
64,1,26,25,17,23,15,107
85,675,11,400,15,45,11,1157
93,509,0,27,0,0,10,546
12,154,2,46,20,4,15,241
86,3,5,14,2,12,17,53
28,25,0,8,2,0,2,37
69,861,138,461,60,30,61,1611
42,768,44,561,77,44,14,1508
13,185,0,28,3,2,17,235
86,24,0,7,0,0,1,32
59,44,4,21,6,0,27,102
30,91,64,128,65,3,50,401
33,11,0,7,3,1,6,28
67,738,20,172,52,50,20,1052
23,412,5,119,38,29,77,680
81,3,3,7,6,2,9,30
6,16,0,3,0,0,1,20
41,731,60,353,78,12,73,1307
78,424,17,118,7,23,41,630
49,792,0,275,45,45,126,1283
39,21,2,28,3,2,9,65
3,22,1,11,0,1,2,37
37,33,0,5,0,0,0,38
22,68,7,59,10,5,11,160
79,9,1,6,3,0,4,23
46,40,2,15,8,0,6,71
82,909,11,218,0,0,23,1161
10,23,1,13,2,2,18,59
51,11,2,9,3,0,8,33
38,317,46,247,151,46,139,946
10,797,153,293,72,97,30,1442
14,10,2,16,11,2,21,62
18,856,61,570,40,25,122,1674
36,755,144,562,104,64,224,1853
95,456,19,832,75,118,38,1538
11,37,32,38,11,3,18,139
65,1103,0,45,0,0,34,1182
71,378,14,68,19,14,14,507
13,1,6,7,0,1,3,18
58,204,34,204,172,153,173,940
65,30,0,9,0,0,3,42
0,189,104,379,111,189,218,1190
33,15,0,12,7,3,7,44
90,9,0,3,0,0,4,16
95,495,33,255,11,33,8,835
93,656,80,455,52,107,93,1443
38,452,20,514,13,30,0,1029
18,546,91,410,119,0,22,1188
57,1048,0,217,0,0,12,1277
45,22,2,14,0,1,10,49
61,78,0,11,0,0,10,99
6,561,64,785,84,128,48,1670
65,629,17,177,69,0,8,900
52,269,15,69,15,19,38,425
87,736,163,818,212,163,61,2153
38,512,0,83,0,0,41,636
53,19,3,10,11,8,6,57
31,9,0,6,4,1,5,25
67,247,8,160,6,8,65,494
65,404,0,92,28,27,142,693
64,333,0,815,129,42,29,1348
82,2,3,20,6,11,9,51
27,833,33,549,151,133,233,1932
63,789,0,142,12,9,38,990
66,10,4,7,0,6,3,30
69,159,4,45,6,2,38,254
52,7,1,6,3,1,11,29
45,977,12,253,16,12,101,1371
2,38,4,22,3,3,3,73
86,57,0,27,0,0,36,120
23,3,9,15,13,2,39,81
13,10,4,14,4,4,1,37
14,1043,24,97,32,24,157,1377
92,3,9,13,2,12,12,51
38,11,0,5,0,0,1,17
74,3,6,5,0,2,6,22
14,43,12,96,78,40,55,324
94,73,3,90,12,1,32,211
33,12,0,1,0,0,6,19
32,4,7,7,6,4,13,41
11,314,11,53,4,3,107,492
78,571,50,142,33,50,159,1005
56,70,0,11,2,8,23,114
57,866,21,151,28,21,86,1173
7,594,134,786,33,134,57,1738
0,140,4,61,0,13,4,222
66,375,152,335,93,91,81,1127
86,102,9,63,2,9,24,209
80,554,35,113,0,7,78,787
56,919,0,505,99,30,45,1598
18,96,1,42,12,3,32,186
51,5,2,16,3,2,19,47
71,2,0,6,8,6,5,27
71,6,4,9,6,36,35,96
80,23,1,25,0,8,7,64
2,610,105,125,137,42,21,1040
83,67,5,61,3,8,19,163
29,65,36,74,38,20,110,343
11,416,0,26,0,0,4,446
55,23,0,11,3,2,2,41
19,19,3,26,10,9,3,70
1,155,7,80,13,7,10,272
19,14,0,24,3,3,2,46
28,370,9,92,6,9,4,490
76,4,22,11,3,7,32,79
50,407,53,221,58,150,26,915
1,1200,0,204,38,29,14,1485
90,85,44,54,102,78,6,369
83,583,34,309,0,22,125,1073
73,483,0,591,156,0,12,1242
24,2,5,9,28,6,28,78
11,966,26,282,52,26,26,1378
33,822,114,108,179,137,114,1474
4,604,0,100,19,0,28,751
14,19,3,19,3,1,3,48
30,5,3,11,12,5,9,45
75,2,2,2,2,1,1,10
26,1076,68,103,29,91,68,1435
77,1285,42,716,55,0,21,2119
8,10,0,7,2,0,1,20
42,551,137,792,179,103,33,1795
28,800,0,297,0,34,57,1188
52,2,2,11,10,6,12,43
1,378,0,189,97,172,172,1008
1,1248,16,349,43,16,16,1688
42,235,0,235,19,4,191,684
76,515,47,181,149,95,95,1082
27,438,66,400,12,38,114,1068
28,25,0,22,2,3,5,57
49,31,0,7,2,0,6,46
12,357,35,271,28,28,14,733
14,400,4,35,6,0,22,467
89,99,0,15,2,1,5,122
96,1,11,5,4,6,9,36
56,5,4,13,8,0,4,34
72,77,28,31,16,0,4,156
14,3,1,2,4,3,1,14
13,10,4,14,4,4,1,37
99,0,6,3,7,6,12,34
72,0,0,1,2,12,5,20
92,76,14,74,13,5,10,192
87,398,190,537,61,156,37,1379
7,14,7,11,11,0,5,48
91,208,7,82,30,66,35,428
71,430,16,322,43,24,33,868
24,656,38,161,62,47,37,1001
17,14,2,30,8,2,3,59
87,141,70,106,72,19,23,431
21,507,19,364,25,47,9,971
90,164,24,103,12,3,42,348
44,606,24,974,197,194,64,2059
71,116,11,72,3,17,46,265
52,143,15,60,24,23,5,270
78,398,96,447,220,96,32,1289
2,522,0,257,32,16,66,893
60,161,0,253,199,191,122,926
25,112,0,6,2,1,14,135
47,483,84,398,205,84,241,1495
46,7,5,39,17,15,37,120
83,789,25,420,16,38,0,1288
17,1239,17,413,23,34,17,1743
13,4,1,5,2,0,3,15
86,335,42,127,28,5,5,542
92,639,8,166,11,8,58,890
47,563,76,384,84,192,89,1388
18,2,0,8,2,2,3,17
81,746,8,125,11,8,8,906
91,22,1,13,4,0,4,44
58,4,1,6,4,1,9,25
40,478,0,193,110,75,117,973
67,20,3,4,2,0,2,31
19,451,0,39,0,4,24,518
93,371,22,39,6,0,92,530
41,281,7,84,15,0,119,506
60,19,7,19,0,1,24,70
54,26,3,13,2,10,0,54
26,138,15,35,25,11,72,296
30,213,2,44,0,2,5,266
93,407,28,100,120,74,18,747
35,483,74,114,169,37,18,895
4,738,0,232,13,20,50,1053
92,502,12,109,16,6,90,735
24,11,0,5,2,1,1,20
96,24,1,108,29,29,14,205
11,1170,19,594,99,76,134,2092
99,185,2,88,15,5,14,309
72,983,20,389,240,50,40,1722
77,691,0,69,10,0,130,900
85,504,13,131,8,0,26,682
88,317,25,265,25,19,12,663
22,29,1,9,2,0,2,43
83,1396,0,322,46,35,17,1816
63,529,0,356,63,28,0,976
9,388,14,218,91,14,21,746
92,13,2,21,4,0,24,64
2,28,0,4,0,0,0,32
6,16,36,21,20,62,108,263
66,1047,0,140,67,38,153,1445
49,31,0,7,2,0,6,46
29,815,10,239,28,10,108,1210
77,225,162,387,106,36,29,945
77,493,70,324,146,40,84,1157
71,34,4,66,3,10,20,137
49,382,138,65,60,26,59,730
97,127,1,56,0,1,31,216
6,325,83,300,86,58,91,943
93,238,17,68,8,10,6,347
78,1168,92,408,72,129,55,1924
62,284,0,55,0,6,52,397
47,1288,20,613,80,61,27,2089
9,65,0,46,4,3,20,138
77,11,7,9,3,1,11,42
24,227,23,389,42,21,75,777
19,1035,134,670,25,38,0,1902
67,27,1,12,2,0,10,52
95,982,73,351,56,14,175,1651
48,179,2,64,38,17,58,358
73,1379,33,216,0,33,66,1727
35,32,1,64,16,12,85,210
76,8,4,15,7,6,2,42
20,881,38,319,16,25,12,1291
72,141,15,153,67,31,35,442
20,1000,155,379,224,17,120,1895
69,206,10,67,30,27,71,411
80,162,61,83,97,57,61,521
65,619,54,260,127,54,54,1168
52,456,4,24,0,0,9,493
65,112,6,92,3,9,38,260
57,11,3,22,2,2,6,46
70,172,12,112,8,0,15,319
0,78,0,11,0,0,7,96
19,464,151,292,65,60,30,1062
50,99,4,32,37,54,6,232
67,19,3,19,4,5,26,76
46,1,9,8,11,3,22,54
37,63,10,83,7,19,19,201
38,252,3,42,4,3,102,406
9,1478,19,403,0,19,0,1919
56,198,18,252,32,108,54,662
98,8,4,10,6,7,6,41
68,416,46,925,60,107,46,1600
72,42,7,43,20,12,10,134
47,14,3,21,2,1,28,69
33,17,0,3,0,0,1,21
87,15,4,10,3,4,18,54
0,6,16,24,11,0,34,91
73,458,0,24,6,4,34,526
74,30,3,47,19,21,42,162
4,179,28,520,111,123,47,1008
50,90,17,97,15,6,15,240
57,308,85,137,102,45,118,795
30,557,129,761,29,185,111,1772
27,7,4,13,15,8,17,64
61,1492,38,287,50,57,33,1957
4,30,8,12,8,8,12,78
75,249,153,940,58,134,38,1572
12,465,25,132,136,0,37,795
13,129,129,259,168,121,83,889
9,174,18,81,28,6,24,331
48,189,2,29,3,2,40,265
80,747,10,161,65,40,42,1065
60,6,0,2,2,0,1,11
43,14,0,3,0,0,4,21
19,12,0,4,0,0,1,17
26,98,0,106,49,10,106,369
58,32,0,5,0,0,1,38
42,51,12,49,17,24,24,177
27,200,5,44,0,10,20,279
56,25,6,25,6,0,0,62
27,1050,12,144,0,0,24,1230
10,117,0,22,13,0,30,182
48,9,4,17,10,2,7,49
39,56,0,11,0,0,8,75
85,145,13,46,17,2,4,227
64,203,0,10,0,0,2,215
69,270,3,27,39,6,99,444
54,9,0,16,6,6,10,47
57,37,12,23,8,11,52,143
64,46,0,7,0,0,2,55
10,31,1,13,7,2,9,63
65,1060,21,530,32,0,224,1867
74,264,47,188,54,47,11,611
4,399,4,30,6,4,30,473
94,8,9,9,2,5,22,55
41,19,0,35,6,4,17,81
25,817,183,797,106,163,20,2086
94,292,127,635,132,127,165,1478
9,12,6,2,11,2,16,49
47,130,30,168,20,34,0,382
12,6,4,16,3,10,30,69
80,16,12,18,7,1,13,67
20,19,0,9,0,0,2,30
39,4,7,15,13,9,15,63
57,31,3,31,2,8,4,79
27,36,0,2,0,0,4,42
83,526,28,135,10,21,99,819
79,400,32,519,71,75,54,1151
69,410,16,114,0,5,49,594
77,80,3,26,4,2,14,129
15,88,10,46,2,3,64,213
99,55,0,6,2,0,4,67
61,5,1,13,3,5,1,28
23,8,4,5,15,2,11,45
84,410,0,592,147,22,22,1193
74,101,13,76,20,18,40,268
90,162,25,53,16,0,10,266
41,2,8,1,4,7,15,37
28,25,0,8,2,0,2,37
73,389,91,248,64,49,41,882
88,215,13,87,17,17,24,373
94,27,0,5,0,0,3,35
31,85,1,16,2,1,2,107
31,5,6,10,6,5,10,42
6,179,8,83,19,11,26,326
23,352,0,27,10,0,15,404
92,17,8,12,11,15,32,95
52,625,35,169,58,17,35,939
50,10,6,11,0,4,2,33
54,390,22,323,104,35,107,981
93,10,2,15,2,1,6,36
56,215,63,507,231,31,190,1237
28,1001,17,572,93,125,17,1825
94,19,18,33,24,1,8,103
76,41,5,129,10,3,3,191
43,1181,107,199,39,30,30,1586
46,603,45,207,36,18,54,963
13,129,129,259,168,121,83,889
27,10,24,15,13,1,30,93
12,514,22,732,42,198,79,1587
3,14,0,1,0,0,1,16
72,387,20,713,38,54,163,1375
6,121,103,69,8,44,48,393
53,965,69,279,54,41,69,1477
58,707,21,250,85,43,73,1179
78,571,50,142,33,50,159,1005
57,586,66,653,17,0,26,1348
37,1063,89,102,16,12,25,1307
20,305,3,27,4,3,144,486
73,1200,105,758,0,42,147,2252
56,163,2,40,8,11,11,235
36,1009,181,104,202,21,207,1724
9,125,6,73,8,4,19,235
42,721,0,152,119,50,50,1092
28,315,4,62,41,31,146,599
23,1000,19,711,125,115,38,2008
38,16,0,17,6,3,6,48
63,757,80,217,29,80,11,1174
71,30,2,25,0,1,9,67
9,219,3,100,26,0,17,365
81,1,1,1,1,1,1,6
87,111,3,28,2,6,15,165
92,45,47,52,21,20,25,210
36,410,112,420,0,82,71,1095
86,100,1,39,6,1,76,223
83,509,0,65,7,11,5,597
74,3,6,5,0,2,6,22
87,445,53,213,104,98,151,1064
29,2,2,11,41,7,11,74
88,4,1,11,6,2,2,26
77,6,1,7,23,4,19,60
25,14,0,3,0,0,3,20
34,1,10,11,19,3,15,59
43,26,0,6,0,0,2,34
76,111,16,37,7,9,18,198
81,418,61,428,80,51,10,1048
87,327,9,122,19,14,83,574
33,371,159,194,58,106,141,1029
38,275,59,107,69,101,59,670
63,789,0,142,12,9,38,990
26,1,1,5,0,3,1,11
17,1004,12,145,32,12,36,1241
75,187,81,149,25,43,91,576
13,56,4,76,17,1,18,172
19,365,32,117,34,110,6,664
51,595,23,123,10,23,154,928
81,1132,134,384,175,134,115,2074
32,34,11,137,179,61,45,467
84,116,6,82,6,6,41,257
87,565,32,435,28,32,54,1146
99,372,18,126,47,48,78,689
96,899,102,838,133,102,40,2114
21,55,16,1622,17,3,4,1717
40,760,40,480,0,40,26,1346
3,260,86,559,63,9,67,1044
98,459,0,24,6,0,4,493
73,466,0,224,119,49,99,957
90,67,15,80,17,11,80,270
29,2,0,7,3,7,10,29
3,67,1,20,0,2,31,121
94,92,4,18,3,3,6,126
65,4,2,11,2,0,4,23
33,20,1,28,3,3,2,57
46,273,11,178,62,83,29,636
29,434,22,388,104,22,34,1004
99,321,11,309,33,26,34,734
26,212,123,177,15,64,23,614
30,909,12,278,0,12,242,1453
27,1184,32,352,21,16,16,1621
24,112,19,21,16,14,5,187
93,656,80,455,52,107,93,1443
34,23,0,8,6,2,18,57
88,537,6,42,16,6,30,637
96,712,0,45,0,0,191,948
10,23,1,13,2,2,18,59
26,1,3,4,2,2,6,18
49,664,58,83,32,0,66,903
11,6,10,21,19,14,42,112
44,299,5,201,21,21,49,596
75,99,13,66,43,8,4,233
64,749,40,294,121,160,147,1511
19,345,25,501,63,138,80,1152
45,9,4,18,7,5,5,48
77,440,81,368,0,122,174,1185
9,8,2,5,3,0,3,21
1,670,9,249,0,28,9,965
90,524,0,134,28,28,155,869
43,6,0,6,2,1,1,16
79,597,166,597,172,166,249,1947
19,7,0,12,13,7,32,71
99,54,0,7,0,0,4,65
62,445,25,706,80,76,48,1380
41,294,142,218,164,58,151,1027
60,292,3,77,10,3,26,411
17,412,22,132,59,28,183,836
24,8,0,3,0,0,0,11
60,349,4,78,6,0,43,480
57,328,9,124,12,24,109,606
74,144,2,99,7,2,30,284
22,1126,28,211,37,28,42,1472
46,967,0,617,43,50,0,1677
69,432,79,341,177,136,170,1335
29,138,39,63,55,18,21,334
37,0,0,1,7,4,6,18
26,509,133,497,78,24,97,1338
8,948,10,86,13,21,21,1099
26,39,2,25,4,3,24,97
79,28,1,21,3,0,10,63
71,13,11,24,13,8,40,109
83,307,26,360,138,31,40,902
