Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending
57,901,31,345,75,31,191,1574
37,2,5,12,4,8,7,38
30,283,17,372,138,106,44,960
34,4,3,7,0,3,11,28
0,769,80,252,15,34,65,1215
89,518,42,742,55,56,84,1497
92,350,8,66,17,4,4,449
87,445,53,213,104,98,151,1064
20,778,178,689,41,27,44,1757
56,709,93,374,104,80,80,1440
28,359,35,314,93,116,89,1006
55,799,12,375,16,12,12,1226
25,895,10,101,13,0,152,1171
0,40,2,23,0,4,23,92
86,76,0,7,0,0,16,99
8,11,5,22,12,5,11,66
33,245,16,223,21,43,16,564
13,647,107,391,175,67,40,1427
12,39,1,9,2,1,34,86
92,203,35,305,46,17,227,833
90,138,3,38,4,0,59,242
8,587,51,898,247,0,86,1869
6,595,97,291,127,133,121,1364
91,43,12,23,29,15,61,183
52,301,7,74,10,0,58,450
3,180,32,348,76,32,90,758
57,794,115,243,150,0,205,1507
9,392,5,91,28,26,112,654
22,39,1,22,3,4,12,81
76,107,2,12,2,2,12,137
86,13,0,3,0,0,0,16
64,70,0,17,0,0,6,93
90,680,11,392,75,0,0,1158
79,26,1,11,0,1,4,43
28,522,0,522,227,120,134,1525
86,412,12,546,78,182,0,1230
42,6,5,5,8,0,5,29
39,2,3,6,4,1,9,25
8,1,3,8,2,5,5,24
40,6,2,15,6,6,3,38
5,4,12,5,3,16,17,57
96,18,2,19,0,2,6,47
28,324,48,186,39,18,198,813
22,327,9,125,25,4,139,629
30,229,27,71,13,3,34,377
45,521,168,706,80,76,61,1612
58,184,23,446,30,23,23,729
49,4,8,11,12,2,13,50
37,183,2,64,7,2,12,270
70,31,19,35,26,14,52,177
33,219,3,60,12,9,12,315
98,479,28,136,75,14,35,767
17,584,44,212,46,8,177,1071
54,627,91,597,159,91,15,1580
39,24,1,16,12,2,5,60
81,330,5,159,36,27,16,573
71,19,1,10,2,1,8,41
62,28,23,29,29,14,47,170
8,606,148,228,15,148,22,1167
76,1039,43,204,153,58,29,1526
66,411,0,26,0,0,21,458
83,34,1,19,2,7,0,63
28,161,28,136,32,3,45,405
87,623,53,178,23,17,133,1027
43,604,26,470,123,161,94,1478
0,3,10,8,3,16,32,72
1,12,2,17,6,1,10,48
1,184,174,256,50,30,32,726
72,393,0,239,90,69,69,860
72,410,73,747,76,161,30,1497
12,376,9,83,19,4,4,495
89,7,2,4,2,1,4,20
67,68,0,226,51,157,68,570
54,642,14,49,0,7,57,769
34,8,7,9,13,6,12,55
15,840,53,804,23,71,17,1808
43,7,10,13,3,11,11,55
0,464,5,64,7,0,37,577
74,30,3,47,19,21,42,162
61,1492,38,287,50,57,33,1957
51,752,122,476,39,153,34,1576
97,1279,15,287,20,0,15,1616
75,22,1,8,2,1,2,36
83,860,28,409,73,56,56,1482
23,3,0,5,13,0,1,22
65,10,5,28,11,1,8,63
94,351,16,156,7,5,145,680
42,421,5,90,0,16,10,542
10,2,5,7,0,18,18,50
94,25,1,9,2,1,1,39
50,336,123,274,46,123,141,1043
46,191,9,97,0,6,82,385
98,563,50,774,28,31,187,1633
42,31,0,6,0,1,8,46
30,479,5,82,7,17,171,761
11,18,6,15,12,8,17,76
61,91,65,52,10,44,28,290
12,5,7,24,19,14,20,89
76,2,14,28,16,3,7,70
2,362,50,431,134,35,54,1066
43,724,74,929,97,55,130,2009
27,605,91,399,0,45,205,1345
60,547,7,140,0,7,63,764
79,104,1,54,13,9,14,195
96,8,2,15,0,10,18,53
17,224,2,25,7,0,110,368
0,384,0,102,21,32,5,544
38,556,54,845,202,133,63,1853
43,24,0,2,0,0,9,35
1,408,0,21,0,0,17,446
25,265,199,303,234,9,170,1180
2,34,0,7,0,0,0,41
66,374,64,116,84,25,64,727
49,27,2,10,0,0,1,40
5,600,20,350,29,30,33,1062
71,13,2,18,6,1,0,40
35,167,2,89,0,0,34,292
94,0,2,3,4,1,5,15
80,46,35,69,84,41,66,341
61,88,39,78,58,13,93,369
29,243,11,119,10,3,15,401
0,275,11,68,25,7,7,393
80,6,0,4,0,0,0,10
54,121,62,90,68,20,125,486
71,4,12,15,19,7,12,69
27,1308,0,396,23,0,0,1727
61,515,47,267,62,66,38,995
55,4,0,16,17,4,4,45
35,48,13,57,24,15,25,182
34,562,58,168,43,16,142,989
95,769,22,500,210,143,33,1677
64,379,4,93,12,9,98,595
30,29,12,59,19,1,36,156
12,387,68,569,89,45,68,1226
96,12,23,38,30,18,7,128
16,6,10,12,3,15,40,86
16,27,1,14,4,1,21,68
78,9,1,5,0,0,1,16
83,22,0,19,6,5,3,55
96,899,102,838,133,102,40,2114
67,889,55,685,168,92,129,2018
87,189,2,55,0,5,12,263
34,48,0,2,0,0,5,55
46,230,14,156,82,24,58,564
7,852,60,207,78,36,48,1281
73,35,3,20,4,1,20,83
54,205,20,47,23,2,56,353
93,255,31,446,40,56,175,1003
52,0,0,1,8,3,2,14
53,437,8,206,160,49,42,902
81,825,8,53,11,0,242,1139
8,316,58,161,76,51,135,797
97,756,138,354,160,169,61,1638
50,194,55,134,15,0,3,401
38,7,17,18,6,10,26,84
61,183,33,493,59,103,57,928
46,171,0,11,0,1,20,203
73,243,101,405,29,40,40,858
19,181,21,69,39,3,96,409
10,151,7,89,0,7,28,282
94,494,92,391,194,11,241,1423
10,464,28,873,29,18,37,1449
37,5,1,5,10,0,7,28
94,29,0,29,0,5,4,67
23,102,9,49,24,3,12,199
75,604,28,674,91,28,28,1453
40,571,12,523,63,60,24,1253
24,953,0,71,0,0,174,1198
11,63,3,67,8,9,28,178
29,770,29,890,250,27,24,1990
51,398,61,265,138,61,53,976
86,741,19,154,50,9,28,1001
9,1478,19,403,0,19,0,1919
30,156,29,56,30,32,47,350
73,960,64,464,146,0,16,1650
25,38,0,2,0,0,6,46
67,315,26,473,220,12,182,1228
67,15,20,25,2,7,26,95
58,19,6,20,0,5,12,62
82,812,99,431,237,149,33,1761
98,73,28,217,10,24,115,467
93,372,23,384,250,12,108,1149
53,871,111,704,145,55,166,2052
66,375,152,335,93,91,81,1127
6,760,80,466,17,13,80,1416
42,471,0,510,99,21,12,1113
78,31,9,27,16,9,33,125
29,819,0,72,12,0,63,966
82,1,4,3,8,9,7,32
92,203,35,305,46,17,227,833
78,26,0,15,2,1,2,46
54,354,21,311,167,75,32,960
45,1253,0,447,23,71,35,1829
59,371,17,238,23,24,106,779
8,588,7,76,110,15,15,811
51,480,86,249,75,86,144,1120
51,517,12,54,16,6,120,725
76,267,98,606,48,70,98,1187
62,1111,24,790,160,45,172,2302
86,7,7,14,7,16,15,66
60,1166,0,48,0,0,36,1250
56,261,42,144,55,48,133,683
83,135,25,51,23,25,46,305
92,6,2,18,2,8,14,50
31,711,28,142,49,18,47,995
80,11,0,13,2,4,11,41
39,42,0,17,0,0,18,77
20,79,7,58,6,3,18,171
53,20,6,43,19,5,38,131
84,30,0,8,2,0,14,54
50,20,2,23,3,1,4,53
96,115,27,44,4,146,139,475
94,263,5,233,69,41,83,694
25,69,2,15,2,2,6,96
48,267,3,30,4,0,57,361
65,561,85,171,25,123,114,1079
69,492,0,37,7,0,42,578
12,14,7,9,6,16,12,64
84,80,4,46,0,17,2,149
47,97,12,84,13,10,15,231
87,197,107,227,7,59,131,728
35,693,21,925,31,24,84,1778
47,43,2,27,0,9,12,93
48,14,0,2,0,0,7,23
46,186,36,234,86,72,48,662
27,434,137,400,45,137,45,1198
37,59,0,11,4,2,5,81
8,16,5,30,8,7,26,92
29,230,35,75,63,57,31,491
85,829,138,430,60,92,15,1564
2,318,8,407,150,35,8,926
66,1206,55,445,168,18,18,1910
60,292,3,77,10,3,26,411
54,30,9,12,2,11,30,94
70,729,17,133,11,0,195,1085
55,12,1,3,0,0,7,23
20,2,1,1,1,0,1,6
78,22,3,18,0,0,11,54
63,587,43,337,42,87,54,1150
17,674,168,108,192,42,231,1415
43,284,3,84,4,7,23,405
13,1023,93,651,49,55,37,1908
46,1394,22,708,89,91,182,2486
65,311,26,640,180,37,121,1315
1,27,0,12,0,1,5,45
6,1296,17,311,45,69,51,1789
32,3,6,7,0,0,3,19
34,393,5,136,7,5,27,573
70,218,63,282,137,35,70,805
49,66,0,16,0,6,20,108
65,4,2,11,2,0,4,23
25,795,0,545,95,58,0,1493
84,15,10,19,8,17,20,89
7,384,25,292,130,41,64,936
34,244,8,32,7,2,50,343
38,158,19,288,25,0,38,528
1,1285,21,449,106,20,20,1901
25,349,16,144,28,5,182,724
25,4,12,11,3,13,15,58
50,223,2,31,0,2,39,297
46,157,43,127,68,56,37,488
96,397,46,288,20,38,70,859
57,901,31,345,75,31,191,1574
47,14,3,21,2,1,28,69
52,10,0,3,0,0,4,17
30,1230,0,396,232,178,158,2194
63,81,1,31,2,1,0,116
51,154,20,66,0,12,27,279
14,63,0,21,7,0,12,103
20,30,0,11,0,0,3,44
56,90,67,165,30,43,11,406
41,635,114,254,132,152,76,1363
72,127,4,73,15,6,11,236
1,13,3,6,6,5,6,39
27,18,42,24,15,20,18,137
77,45,2,26,4,1,1,79
87,38,1,24,0,0,0,63
81,986,36,168,16,0,108,1314
51,61,0,3,0,0,7,71
79,4,9,16,17,0,12,58
11,201,53,172,116,77,83,702
54,19,8,29,0,12,26,94
93,4,8,11,19,12,26,80
0,18,0,2,0,0,2,22
54,806,80,161,120,11,33,1211
21,380,98,733,110,112,28,1461
58,576,172,961,125,115,19,1968
3,458,81,356,106,50,40,1091
99,5,10,13,3,8,16,55
70,350,60,568,110,133,145,1366
65,39,33,130,41,26,44,313
44,26,1,16,2,2,15,62
6,68,0,16,0,0,8,92
9,45,3,9,4,4,7,72
95,359,0,134,13,26,123,655
70,403,24,29,6,24,218,704
92,34,1,14,0,0,5,54
62,73,18,66,7,12,2,178
85,292,30,415,63,33,200,1033
2,14,0,16,0,0,6,36
0,80,1,37,0,1,3,122
91,30,11,33,13,6,29,122
3,463,96,333,168,53,10,1123
68,75,12,141,43,39,187,497
98,538,13,91,17,6,26,691
41,635,114,254,132,152,76,1363
16,8,0,3,0,0,1,12
82,1315,22,780,145,0,178,2440
1,4,2,12,7,5,26,56
64,12,0,13,2,0,10,37
68,347,44,534,17,0,26,968
98,192,5,53,0,5,15,270
32,241,0,12,0,0,25,278
87,631,28,491,30,14,56,1250
84,336,28,282,184,54,54,938
3,1099,0,45,0,0,34,1178
34,743,19,181,12,0,200,1155
23,124,83,267,85,59,35,653
37,15,0,8,4,2,20,49
22,397,19,69,12,0,9,506
19,10,4,4,3,3,14,38
7,530,117,678,134,44,147,1650
52,1215,33,249,64,116,149,1826
91,3,2,7,0,4,2,18
93,444,44,382,11,8,17,906
78,26,0,15,2,1,2,46
23,736,114,279,82,76,190,1477
83,473,21,176,19,21,56,766
92,32,0,5,2,0,8,47
4,288,10,30,4,10,125,467
32,1050,178,555,77,138,118,2116
27,1001,44,107,58,44,44,1298
10,9,1,7,0,3,2,22
9,234,14,77,19,10,42,396
65,7,2,6,2,0,3,20
68,251,108,334,65,92,117,967
16,172,10,125,21,13,16,357
12,565,42,548,64,83,99,1401
95,5,0,8,2,0,0,15
16,918,57,842,99,38,133,2087
46,652,8,158,21,0,142,981
3,4,1,7,2,1,2,17
80,152,27,103,106,54,81,523
77,8,0,9,2,1,3,23
0,336,130,411,240,32,43,1192
62,938,19,843,25,95,38,1958
91,68,8,18,19,8,12,133
24,227,23,389,42,21,75,777
2,38,4,22,3,3,3,73
22,105,0,9,2,1,4,121
56,162,50,100,55,30,27,424
54,574,8,216,21,16,33,868
71,160,80,369,67,39,41,756
38,6,0,5,0,0,1,12
62,614,35,160,58,35,35,937
78,897,161,430,186,161,27,1862
18,70,54,109,80,9,45,367
95,120,19,206,25,19,54,443
66,211,2,30,7,7,10,267
28,11,0,16,7,6,21,61
78,760,53,400,17,93,0,1323
13,53,0,8,0,0,2,63
27,7,4,13,15,8,17,64
17,391,32,70,21,32,16,562
71,199,9,57,20,21,6,312
79,516,56,449,86,33,16,1156
1,709,45,115,30,160,45,1104
78,12,0,4,0,0,0,16
23,1000,19,711,125,115,38,2008
75,19,3,18,3,1,0,44
70,1224,28,140,0,14,168,1574
10,16,2,18,3,0,24,63
24,88,39,54,64,28,153,426
47,2,23,11,8,6,46,96
98,508,11,59,23,5,29,635
4,381,28,215,84,28,21,757
15,74,0,42,2,1,6,125
67,146,0,93,7,13,73,332
32,23,17,23,43,20,9,135
40,110,5,137,26,23,29,330
54,165,3,147,4,24,41,384
78,957,47,494,82,47,95,1722
94,41,0,17,3,1,16,78
51,1,3,4,2,3,11,24
42,176,29,818,0,33,112,1168
67,815,8,53,11,0,70,957
87,6,1,2,2,0,4,15
29,8,4,20,6,3,16,57
89,717,42,864,219,30,84,1956
74,1067,138,750,0,19,39,2013
97,166,5,107,11,8,29,326
63,29,4,34,2,4,4,77
88,714,76,395,116,0,12,1313
34,8,4,10,2,2,4,30
81,229,5,56,3,2,20,315
65,320,48,133,39,72,48,660
51,23,0,26,7,15,3,74
76,1,5,8,4,8,20,46
76,56,0,12,0,0,18,86
84,508,124,249,50,38,134,1103
56,29,0,25,2,2,3,61
31,46,7,59,2,4,27,145
0,454,0,171,8,19,32,684
91,350,3,39,0,0,19,411
40,10,0,8,0,0,9,27
59,735,40,183,52,20,30,1060
96,897,126,196,91,112,37,1459
61,5,2,3,3,0,5,18
14,777,35,731,39,137,114,1833
16,162,6,37,6,13,13,237
98,35,0,11,0,0,2,48
11,342,9,112,19,14,19,515
52,258,105,239,237,172,9,1020
19,658,80,483,123,13,13,1370
61,356,80,329,138,17,106,1026
73,213,5,28,7,7,41,301
0,454,0,171,8,19,32,684
74,457,4,29,0,0,9,499
55,241,45,604,34,26,54,1004
48,210,0,6,0,0,2,218
53,441,35,83,7,29,11,606
13,19,13,18,10,7,8,75
34,28,9,37,12,7,13,106
54,476,75,162,29,151,97,990
69,364,40,425,158,60,50,1097
81,0,0,2,3,3,8,16
99,0,6,3,7,6,12,34
3,863,83,547,86,99,33,1711
61,349,7,35,0,0,47,438
65,5,23,15,0,18,14,75
93,184,2,19,8,8,4,225
24,8,0,8,0,0,2,18
8,277,21,64,62,21,25,470
72,44,5,19,0,4,19,91
29,1156,120,915,94,144,96,2525
33,373,14,83,6,9,19,504
68,134,8,76,6,0,11,235
55,1148,0,60,0,0,24,1232
76,6,12,3,21,6,40,88
17,4,1,11,0,0,1,17
94,5,4,8,2,0,5,24
86,24,2,20,2,2,10,60
25,899,0,101,0,0,20,1020
22,108,1,28,13,1,4,155
15,27,2,7,0,2,13,51
35,816,66,549,216,66,99,1812
81,1298,0,70,37,14,42,1461
55,10,0,11,17,29,29,96
94,87,13,34,10,6,10,160
50,57,2,51,4,2,23,139
64,635,15,100,20,7,131,908
91,43,12,23,29,15,61,183
11,964,34,137,15,0,11,1161
72,572,8,259,34,35,80,988
6,341,142,113,259,151,66,1072
0,63,6,57,13,13,22,174
66,221,104,169,102,78,84,758
42,140,3,29,4,5,14,195
60,1,2,8,4,3,13,31
64,291,10,689,84,10,0,1084
87,544,13,85,8,6,29,685
96,684,100,801,21,66,0,1672
1,1,12,9,0,14,7,43
54,35,0,4,0,0,10,49
53,87,3,25,3,2,13,133
96,309,3,24,4,3,20,363
58,172,73,93,95,78,34,545
12,625,38,242,50,34,76,1065
78,972,59,913,25,19,59,2047
64,157,6,39,6,13,75,296
26,48,9,45,3,15,20,140
8,279,83,88,32,14,34,530
49,132,0,16,0,0,4,152
56,919,0,505,99,30,45,1598
55,62,0,22,3,1,26,114
25,1,45,3,4,6,42,101
50,2,6,4,3,1,9,25
84,408,61,109,48,122,41,789
30,51,1,7,2,1,25,87
81,62,1,16,3,2,6,90
74,952,12,180,47,12,12,1215
76,618,15,106,20,7,45,811
36,11,7,12,2,2,27,61
64,318,3,17,4,7,56,405
62,56,0,14,0,0,2,72
53,110,5,59,7,1,7,189
86,23,0,11,2,1,3,40
15,27,5,8,8,3,12,63
67,18,3,19,3,3,6,52
47,18,0,9,0,1,11,39
47,303,0,280,60,147,15,805
81,97,1,19,2,0,11,130
98,997,15,414,99,30,76,1631
56,5,4,13,8,0,4,34
48,95,11,35,0,4,7,152
18,1,6,2,3,6,3,21
74,46,1,12,3,0,9,71
68,411,106,147,54,115,66,899
36,244,51,270,101,0,45,711
90,152,9,121,12,12,45,351
65,1,1,3,1,1,1,8
63,10,17,18,8,26,40,119
82,12,0,5,0,0,4,21
63,5,0,4,0,0,1,10
55,790,19,133,12,0,19,973
64,882,29,514,38,29,44,1536
51,615,28,259,12,48,30,992
97,1004,59,265,115,59,27,1529
92,133,27,421,13,195,71,860
51,595,23,123,10,23,154,928
72,293,0,87,4,11,23,418
39,313,15,47,20,0,192,587
49,151,81,86,168,91,64,641
21,15,0,2,0,0,6,23
91,736,63,946,219,189,126,2279
37,15,0,8,4,2,20,49
98,982,17,672,23,34,51,1779
85,1142,51,415,90,69,37,1804
40,28,0,11,0,0,9,48
2,46,0,12,0,2,23,83
78,897,161,430,186,161,27,1862
41,489,6,152,8,6,132,793
94,25,4,9,6,8,32,84
10,145,1,33,2,1,1,183
73,630,26,611,44,18,54,1383
22,760,38,104,50,9,38,999
30,420,15,186,151,38,15,825
21,125,17,52,3,19,30,246
51,464,5,64,7,0,70,610
97,6,6,29,12,15,8,76
56,1090,12,96,16,12,60,1286
4,3,2,11,2,2,10,30
77,24,0,27,8,30,10,99
95,737,21,106,55,63,210,1192
36,254,6,71,4,0,27,362
13,817,185,687,145,55,241,2130
90,620,54,239,99,98,119,1229
49,13,4,20,0,0,1,38
18,113,61,204,34,26,47,485
89,7,23,78,133,49,144,434
43,16,2,18,2,1,5,44
82,462,0,24,6,0,4,496
84,22,2,10,6,4,34,78
80,968,147,842,137,42,210,2346
68,283,112,151,51,72,125,794
12,1,2,5,6,0,3,17
75,14,1,7,2,1,1,26
10,30,5,24,6,3,8,76
91,4,0,5,0,1,5,15
21,52,0,9,0,0,1,62
28,62,1,57,19,11,48,198
97,20,2,14,3,0,10,49
49,545,7,114,37,21,78,802
14,558,79,622,207,175,95,1736
5,6,5,4,13,4,25,57
37,39,1,9,2,0,8,59
62,1111,24,790,160,45,172,2302
83,4,6,8,6,3,10,37
48,183,5,65,3,5,49,310
94,546,72,376,94,145,72,1305
61,606,7,155,10,0,54,832
70,266,6,51,8,6,64,401
43,1142,29,249,38,29,14,1501
23,1074,0,69,0,0,46,1189
37,771,51,154,54,10,154,1194
50,371,32,189,0,58,6,656
78,556,14,717,210,0,43,1540
74,202,5,74,11,5,14,311
14,209,162,209,41,162,37,820
77,35,40,111,36,40,12,274
39,37,0,17,0,0,3,57
89,171,45,73,59,10,90,448
62,12,2,20,3,2,5,44
59,44,4,21,6,0,27,102
68,20,2,9,4,6,20,61
13,779,86,537,34,69,138,1643
37,170,6,97,24,12,88,397
36,491,48,231,112,105,134,1121
28,173,8,107,7,2,176,473
2,7,10,13,16,0,4,50
17,1205,0,235,19,14,205,1678
86,10,7,25,6,3,7,58
54,97,4,44,6,1,18,170
2,67,11,26,4,3,262,373
3,345,53,528,98,75,97,1196
84,6,5,17,3,24,46,101
8,73,57,100,71,15,0,316
4,711,36,217,172,96,168,1400
57,774,70,118,182,187,93,1424
24,163,0,480,0,126,75,844
51,82,33,54,71,30,41,311
29,358,108,413,141,97,32,1149
13,66,2,40,4,3,14,129
23,13,6,7,0,3,3,32
36,139,13,78,20,13,36,299
88,274,0,21,4,6,15,320
2,262,6,61,0,10,102,441
3,1099,0,45,0,0,34,1178
15,32,0,8,23,4,18,85
58,2,4,2,0,11,5,24
11,6,10,21,19,14,42,112
27,6,7,4,3,4,6,30
32,135,46,92,65,61,11,410
12,641,7,84,0,30,38,800
88,714,76,395,116,0,12,1313
91,794,73,573,0,29,14,1483
12,420,0,452,182,64,140,1258
21,1,2,7,4,3,11,28
23,86,12,75,33,15,6,227
10,823,25,459,124,29,95,1555
35,231,161,215,171,30,53,861
69,8,15,27,0,20,33,103
68,182,17,259,77,70,29,634
85,557,129,984,193,37,18,1918
34,79,1,31,4,4,12,131
55,368,24,68,38,0,88,586
10,6,4,14,8,8,22,62
30,160,15,196,15,11,50,447
36,488,21,238,56,108,28,939
14,691,7,69,0,7,23,797
79,543,10,205,160,143,82,1143
52,254,7,108,20,0,26,415
97,5,4,10,2,2,7,30
24,112,19,21,16,14,5,187
0,134,11,59,15,2,30,251
96,143,6,52,11,8,17,237
89,51,4,24,4,7,1,91
94,27,0,5,0,0,3,35
98,459,0,24,6,0,4,493
72,689,8,167,11,8,88,971
1,283,10,38,0,13,27,371
26,347,0,35,4,3,7,396
5,5,13,14,0,5,31,68
22,280,0,18,0,0,24,322
39,187,5,65,26,20,14,317
56,95,14,64,2,9,38,222
74,84,10,34,11,10,28,177
87,19,4,12,2,2,6,45
49,5,1,9,2,0,4,21
24,18,3,17,3,0,4,45
9,992,24,694,51,19,119,1899
17,25,1,13,0,0,3,42
10,9,1,7,0,3,2,22
35,19,1,17,2,0,2,41
56,709,93,374,104,80,80,1440
7,158,0,76,13,7,71,325
51,10,14,29,4,2,36,95
17,25,1,13,0,0,3,42
30,8,4,12,15,4,29,72
21,14,0,6,0,0,0,20
2,622,7,115,30,0,15,789
85,11,0,3,0,0,1,15
65,25,3,16,8,5,2,59
64,635,15,100,20,7,131,908
11,100,64,79,65,0,109,417
92,201,2,43,3,5,35,289
54,642,14,49,0,7,57,769
4,97,1,41,6,2,41,188
53,204,5,39,17,0,89,354
39,513,7,133,46,14,14,727
49,88,3,21,4,1,29,146
70,172,12,112,8,0,15,319
40,329,35,222,130,35,43,794
40,296,13,104,11,13,17,454
43,100,2,16,2,1,31,152
17,422,7,238,69,46,15,797
40,1218,16,272,104,0,80,1690
84,5,1,7,2,1,4,20
25,507,93,520,242,40,26,1428
62,52,12,50,4,36,55,209
83,191,56,139,51,8,100,545
47,2,23,11,8,6,46,96
45,68,28,39,16,30,41,222
34,20,4,10,6,4,17,61
3,20,3,16,0,4,1,44
1,7,0,1,0,0,0,8
18,279,172,74,38,8,246,817
45,977,12,253,16,12,101,1371
81,30,1,8,0,0,3,42
77,6,1,7,23,4,19,60
23,3,18,26,11,8,12,78
48,14,0,2,0,0,7,23
61,10,1,7,0,0,1,19
60,7,10,17,8,6,13,61
75,33,87,64,175,16,74,449
64,12,0,13,2,0,10,37
54,2,3,10,11,2,10,38
84,693,21,118,110,147,42,1131
75,9,3,15,2,3,2,34
16,129,26,67,3,67,2,294
79,16,2,11,3,0,16,48
92,201,2,43,3,5,35,289
16,5,4,5,4,2,10,30
96,14,36,11,3,26,35,125
30,29,12,59,19,1,36,156
60,26,2,19,10,5,8,70
11,9,1,4,3,2,3,22
75,14,0,23,4,5,19,65
36,972,19,595,180,26,138,1930
71,966,168,672,246,105,126,2283
88,99,27,102,28,48,6,310
93,482,35,553,72,160,17,1319
93,714,8,99,11,0,47,879
54,587,54,348,71,54,130,1244
41,399,27,159,58,8,39,690
46,56,10,92,19,7,25,209
28,227,151,573,98,54,31,1134
40,703,102,601,0,58,43,1507
82,37,0,17,0,0,3,57
38,167,13,180,86,13,70,529
3,458,81,356,106,50,40,1091
87,91,3,52,2,1,31,180
49,15,8,16,11,5,22,77
16,1302,68,731,89,114,45,2349
65,153,64,123,116,64,14,534
9,508,5,21,7,5,10,556
24,290,59,177,77,5,29,637
25,38,0,2,0,0,6,46
43,2,13,6,7,5,11,44
10,30,0,10,2,0,5,47
29,386,23,95,54,41,196,795
45,443,10,75,0,10,48,586
57,901,31,345,75,31,191,1574
20,9,0,3,0,0,1,13
29,846,84,352,91,56,42,1471
82,8,3,9,19,4,22,65
68,72,7,58,13,1,24,175
65,29,0,5,0,1,5,40
99,169,24,553,188,0,144,1078
9,460,35,422,33,12,153,1115
20,69,8,26,12,7,12,134
78,556,14,717,210,0,43,1540
26,73,0,13,0,1,0,87
68,112,1,54,7,7,36,217
79,944,0,60,0,0,30,1034
25,265,199,303,234,9,170,1180
83,526,28,135,10,21,99,819
32,2,3,12,3,5,7,32
49,2,4,9,10,5,16,46
50,378,97,259,197,194,34,1159
84,553,25,142,65,67,8,860
96,751,127,687,20,15,31,1631
56,406,0,30,0,0,8,444
85,1449,89,161,69,35,107,1910
63,123,17,171,39,0,30,380
17,267,42,309,55,42,21,736
11,209,0,40,3,2,15,269
62,1259,172,815,97,148,33,2524
